,location,cases,Rate,date
323,Unincorporated - Lake Manor,3.0,182.59,2020-05-12 19:13:21.155291
324,Unincorporated - Lakewood,0.0,0.0,2020-05-12 19:13:21.155291
325,Unincorporated - Lennox,71.0,314.97,2020-05-12 19:13:21.155291
326,Unincorporated - Leona Valley,1.0,57.11,2020-05-12 19:13:21.155291
327,Unincorporated - Littlerock,11.0,273.56,2020-05-12 19:13:21.155291
328,Unincorporated - Littlerock/Juniper Hills,2.0,154.2,2020-05-12 19:13:21.155291
329,Unincorporated - Littlerock/Pearblossom,11.0,308.21,2020-05-12 19:13:21.155291
330,Unincorporated - Llano,1.0,114.03,2020-05-12 19:13:21.155291
331,Unincorporated - Marina del Rey,13.0,138.14,2020-05-12 19:13:21.155291
332,Unincorporated - Miracle Mile,0.0,0.0,2020-05-12 19:13:21.155291
333,Unincorporated - Monrovia,15.0,386.5,2020-05-12 19:13:21.155291
334,Unincorporated - Newhall,0.0,0.0,2020-05-12 19:13:21.155291
335,Unincorporated - North Lancaster,4.0,333.89,2020-05-12 19:13:21.155291
336,Unincorporated - North Whittier,7.0,83.73,2020-05-12 19:13:21.155291
337,Unincorporated - Northeast San Gabriel,24.0,99.85,2020-05-12 19:13:21.155291
338,Unincorporated - Palmdale,4.0,475.06,2020-05-12 19:13:21.155291
339,Unincorporated - Palos Verdes Peninsula,0.0,0.0,2020-05-12 19:13:21.155291
340,Unincorporated - Pearblossom/Llano,2.0,102.25,2020-05-12 19:13:21.155291
341,Unincorporated - Pellissier Village,0.0,0.0,2020-05-12 19:13:21.155291
342,Unincorporated - Placerita Canyon,0.0,0.0,2020-05-12 19:13:21.155291
343,Unincorporated - Pomona,1.0,51.6,2020-05-12 19:13:21.155291
344,Unincorporated - Quartz Hill,29.0,224.7,2020-05-12 19:13:21.155291
345,Unincorporated - Rancho Dominguez,12.0,450.96,2020-05-12 19:13:21.155291
346,Unincorporated - Roosevelt,0.0,0.0,2020-05-12 19:13:21.155291
