,location,cases,Unnamed: 2,date
221,Los Angeles - University Hills,0.0,0,2020-03-31 15:02:43.233651
222,Los Angeles - University Park,12.0,44.57,2020-03-31 15:02:43.233651
223,Los Angeles - Valley Glen,7.0,23.45,2020-03-31 15:02:43.233651
224,Los Angeles - Valley Village,21.0,89.64,2020-03-31 15:02:43.233651
225,Los Angeles - Van Nuys,13.0,14,2020-03-31 15:02:43.233651
226,Los Angeles - Venice,18.0,52.73,2020-03-31 15:02:43.233651
227,Los Angeles - Vermont Knolls,,--,2020-03-31 15:02:43.233651
228,Los Angeles - Vermont Square,,--,2020-03-31 15:02:43.233651
229,Los Angeles - Vermont Vista,6.0,14.4,2020-03-31 15:02:43.233651
230,Los Angeles - Vernon Central,5.0,9.24,2020-03-31 15:02:43.233651
231,Los Angeles - Victoria Park,,--,2020-03-31 15:02:43.233651
232,Los Angeles - View Heights,,--,2020-03-31 15:02:43.233651
233,Los Angeles - Watts,7.0,15.94,2020-03-31 15:02:43.233651
234,Los Angeles - Wellington Square,0.0,0,2020-03-31 15:02:43.233651
235,Los Angeles - West Adams,12.0,42.67,2020-03-31 15:02:43.233651
236,Los Angeles - West Hills,10.0,25.56,2020-03-31 15:02:43.233651
237,Los Angeles - West Los Angeles,20.0,53.34,2020-03-31 15:02:43.233651
238,Los Angeles - West Vernon,13.0,23.94,2020-03-31 15:02:43.233651
239,Los Angeles - Westchester,17.0,33.47,2020-03-31 15:02:43.233651
240,Los Angeles - Westlake,10.0,17.04,2020-03-31 15:02:43.233651
241,Los Angeles - Westwood,28.0,51.45,2020-03-31 15:02:43.233651
242,Los Angeles - Wholesale District,10.0,26.18,2020-03-31 15:02:43.233651
243,Los Angeles - Wilmington,12.0,20.95,2020-03-31 15:02:43.233651
244,Los Angeles - Wilshire Center,8.0,15.55,2020-03-31 15:02:43.233651
245,Los Angeles - Winnetka,10.0,19.59,2020-03-31 15:02:43.233651
246,Los Angeles - Woodland Hills,25.0,38.73,2020-03-31 15:02:43.233651
247,Unincorporated - Acton,0.0,0,2020-03-31 15:02:43.233651
248,Unincorporated - Agua Dulce,0.0,0,2020-03-31 15:02:43.233651
249,Unincorporated - Altadena,12.0,28.26,2020-03-31 15:02:43.233651
250,Unincorporated - Anaverde,0.0,0,2020-03-31 15:02:43.233651
251,Unincorporated - Angeles National Forest,0.0,0,2020-03-31 15:02:43.233651
252,Unincorporated - Arcadia,0.0,0,2020-03-31 15:02:43.233651
253,Unincorporated - Athens-Westmont,11.0,26.42,2020-03-31 15:02:43.233651
254,Unincorporated - Athens Village,,--,2020-03-31 15:02:43.233651
255,Unincorporated - Avocado Heights,0.0,0,2020-03-31 15:02:43.233651
256,Unincorporated - Azusa,0.0,0,2020-03-31 15:02:43.233651
257,Unincorporated - Bassett,0.0,0,2020-03-31 15:02:43.233651
258,Unincorporated - Bouquet Canyon,0.0,0,2020-03-31 15:02:43.233651
259,Unincorporated - Bradbury,0.0,0,2020-03-31 15:02:43.233651
260,Unincorporated - Canyon Country,,--,2020-03-31 15:02:43.233651
261,Unincorporated - Castaic,3.0,10.59,2020-03-31 15:02:43.233651
